"仕入先コード","仕入先名","部門コード","部門名","集計年月","総仕入額","純仕入額","総仕入数","純仕入数","明細数"
"V0001","西山電気","","","2021/04","44324524","44324524","26.0000","26.0000","18"
"V0001","西山電気","DNK-E","電力機器事業部","2021/04","2485699","2485699","146.0000","146.0000","49"
"V0002","テルヤ電機","","","2021/04","1764","1764","1.0000","1.0000","1"
"V0002","テルヤ電機","DNK-E","電力機器事業部","2021/03","8000","8000","50.0000","50.0000","1"
"V0003","協同電気","","","2021/04","64594","64594","1.0000","1.0000","1"
"V0004","ミツワ電機","","","2021/04","50622","50622","1.0000","1.0000","2"
"V0004","ミツワ電機","DNK-E","電力機器事業部","2021/04","1440","1440","6.0000","6.0000","1"
"V0005","日幸電機製作所","","","2021/04","144232","144232","1.0000","1.0000","1"
"V0006","ヤシマキザイ","","","2021/04","413","413","1.0000","1.0000","1"
"V0007","関東日立","","","2021/04","1007511","1007511","1.0000","1.0000","1"
"V0008","東芝産業機器システム　関東支社","","","2021/04","2035000","2035000","1.0000","1.0000","1"
"V0018","セキデンエンジニアリング","","","2021/04","660000","660000","1.0000","1.0000","1"
"V0020","立野電機","","","2021/04","285417","285417","1.0000","1.0000","1"
"V0025","新田電材","","","2021/04","600110","600110","1.0000","1.0000","1"
"V0070","日本シーペックス株式会社","DNK-E","電力機器事業部","2021/03","135600","135600","1.0000","1.0000","1"
"V0071","株式会社井上電機商会","","","2021/04","56760","56760","1.0000","1.0000","1"
"V0072","ヤサカ精工株式会社","","","2021/04","41800","41800","1.0000","1.0000","1"
