"得意先コード","得意先名","部門コード","部門名","総売上額","純売上額","原価計","総売上数","純売上数","明細数","粗利益","粗利率"
"EJR0001","株式会社カナデン","DNK-E","電力機器事業部","2231700","2231700","1381760","13.0000","13.0000","4","849940","38.1"
"EJR0006","東日本旅客鉄道株式会社 八王子電力設備技術センター","DNK-E","電力機器事業部","430300","430300","321800","136.0000","136.0000","8","108500","25.2"
"EJR0007","東日本旅客鉄道株式会社　大宮電力設備技術センター","DNK-E","電力機器事業部","8085300","8085300","5645180","17.0000","17.0000","13","2440120","30.2"
"EJR0008","東日本旅客鉄道株式会社　高崎電力設備技術センター","DNK-E","電力機器事業部","1190800","1190800","474590","3.0000","3.0000","3","716210","60.1"
"EJR0013","東日本旅客鉄道株式会社　上信越新幹線電力技術センター","DNK-E","電力機器事業部","8460000","8460000","4795600","20.0000","20.0000","1","3664400","43.3"
"EJR0014","東日本旅客鉄道株式会社　東京配電技術センター","DNK-E","電力機器事業部","10464000","10464000","5029820","3.0000","3.0000","3","5434180","51.9"
"EJR0017","首都圏新幹線電力技術センター","DNK-E","電力機器事業部","1116000","1116000","954960","3.0000","3.0000","1","161040","14.4"
"EJR0024","株式会社ゆりかもめ","DNK-E","電力機器事業部","9470","9470","7890","1.0000","1.0000","1","1580","16.7"
"EOT0001","日本シーペックス株式会社","DNK-E","電力機器事業部","1303370","1303370","1037110","17.0000","17.0000","11","266260","20.4"
"EOT0002","有限会社ヤスコーポレーション","DNK-E","電力機器事業部","75200","75200","63400","1.0000","1.0000","1","11800","15.7"
"EOT0004","光栄電機工業株式会社","DNK-E","電力機器事業部","289840","289840","225150","67.0000","67.0000","8","64690","22.3"
"EOT0009","猪飼様","DNK-E","電力機器事業部","3180","3180","3140","1.0000","1.0000","1","40","1.3"
"EOT0010","サンライフ取手管理組合","DNK-E","電力機器事業部","589000","589000","312800","8.0000","8.0000","8","276200","46.9"
"EOT0012","町屋ふれあい館","DNK-E","電力機器事業部","766400","766400","490900","1.0000","1.0000","1","275500","35.9"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","159449301","159449301","107732429","11083.0000","11083.0000","2340","51716872","32.4"
"ESB0002","内山電機工業株式会社 西東京日の出工場","","","6090","6090","5680","1.0000","1.0000","1","410","6.7"
"ESB0002","内山電機工業株式会社 西東京日の出工場","DNK-E","電力機器事業部","41767660","41767660","34435923","5822.0000","5822.0000","1615","7331737","17.6"
"ESB0003","株式会社精美電機製作所","DNK-E","電力機器事業部","50179984","49960114","34124886","10289.0000","10289.0000","1163","15835228","31.7"
"ESB0004","日本包装機械株式会社","","","169100","169100","157340","4.0000","4.0000","2","11760","7"
"ESB0004","日本包装機械株式会社","DNK-E","電力機器事業部","105883380","105883380","95247355","8655.0000","8655.0000","1817","10636025","10"
"ESB0005","三誠電気株式会社","DNK-E","電力機器事業部","235075","235075","168304","106.0000","106.0000","56","66771","28.4"
"ESB0006","株式会社横浜コントロール","DNK-E","電力機器事業部","5262520","5262520","3469387","1841.0000","1841.0000","301","1793133","34.1"
"ESB0007","有限会社シンコー電気","DNK-E","電力機器事業部","1225555","1225555","869976","591.0000","591.0000","148","355579","29"
"ESB0009","株式会社日照電機製作所","DNK-E","電力機器事業部","841570","841570","761547","142.0000","142.0000","20","80023","9.5"
"ESB0015","株式会社別川製作所","DNK-E","電力機器事業部","1987000","1987000","1491460","7.0000","7.0000","6","495540","24.9"
"ESB0017","東神電機株式会社","DNK-E","電力機器事業部","443860","443780","335428","669.0000","669.0000","38","108352","24.4"
"ESB0018","株式会社制御機器販売","DNK-E","電力機器事業部","2386560","2386560","1774864","1160.0000","1160.0000","315","611696","25.6"
"ESB0019","永楽電気株式会社","DNK-E","電力機器事業部","788190","788190","612710","354.0000","354.0000","89","175480","22.3"
"ESB0020","株式会社渡辺電機製作所","DNK-E","電力機器事業部","16069090","16069090","10675148","1812.0000","1812.0000","76","5393942","33.6"
"ESB0023","株式会社三輝","DNK-E","電力機器事業部","29970","29970","19620","3.0000","3.0000","2","10350","34.5"
"ESB0025","旭テクネイオン　B","DNK-E","電力機器事業部","9737995","9724035","7424181","7069.0000","7069.0000","1014","2299854","23.7"
