"部門コード","部門名","商品コード","商品名","仕様・規格","単位","集計年月","総売上額","純売上額","原価計","総売上数","純売上数","明細数","粗利益","粗利率"
"","","9999","出精値引き","","式","2022/10","-540000","-540000","0","1.0000","1.0000","1","-540000","100"
"","","9999","出精値引き","","式","2023/01","-1504200","-1504200","0","1.0000","1.0000","1","-1504200","100"
"","","9999","出精値引き","","式","2023/03","-926000","-926000","0","1.0000","1.0000","1","-926000","100"
"","","99999","金額一式","","式","2022/10","1440000","1440000","577270","2.0000","2.0000","1","862730","59.9"
"","","E-00093719","HG-KR23B (C)","","個","2022/08","79400","79400","73880","2.0000","2.0000","1","5520","7"
"","","E-00093727","HG-KR43B (C)","","個","2022/08","89700","89700","83460","2.0000","2.0000","1","6240","7"
"","","E-00098443","SL-T50FN AC100V 2a2b 二種耐熱形","","台","2022/06","6090","6090","5680","1.0000","1.0000","1","410","6.7"
"","","E-00098785","M5VM-LATR 1P3W 100V 60A 50Hz 検定付 (A)","","台","2023/01","263400","263400","105300","3.0000","3.0000","1","158100","60"
"","","E-00098811","SMC-WCA (A)","","個","2023/01","900000","900000","390000","2.0000","2.0000","1","510000","56.7"
"","","E-00099080","SMC-WTA (A)","","台","2023/01","270000","270000","117000","9.0000","9.0000","1","153000","56.7"
"","","E-00099607","M5VM-LTR 1P3W 100V 120A 50Hz 検付 無線 (A)","","台","2023/01","179600","179600","71760","2.0000","2.0000","1","107840","60"
"","","E-00099667","M5CM-LTR 1P3W 100V 200/5A 50Hz 無線 検付 (A)","(CW-5LS3)","台","2023/01","134700","134700","52570","1.0000","1.0000","1","82130","61"
"","","E-00099668","M5CM-LTR 1P3W 100V 250/5A 50Hz 無線 検付 (A)","(CW-5LMS3)","台","2023/01","143400","143400","55560","1.0000","1.0000","1","87840","61.3"
"","","E-00099669","M5CM-LTR 3P3W 200V 200/5A 50Hz 無線 検付 (A)","(CW-5LS3)","台","2023/01","134700","134700","52570","1.0000","1.0000","1","82130","61"
"","","E-00099670","M5CM-LTR 3P3W 200V 250/5A 50Hz 無線 検付 (A)","(CW-5LMS3)","台","2023/01","143400","143400","55560","1.0000","1.0000","1","87840","61.3"
"","","E-00099671","SMC-WRA (A)","","台","2023/01","735000","735000","318500","7.0000","7.0000","1","416500","56.7"
"","","E-00099698","CV-FPN PV420V 1P3W 10KVA 50Hz SV210/105V","ケース入り","台","2023/03","688000","688000","200450","1.0000","1.0000","1","487550","70.9"
"","","E-00099699","CV-FPN PV420V 1P3W 20KVA 50Hz SV210/105V","ケース入り","台","2023/03","1818000","1818000","530700","2.0000","2.0000","1","1287300","70.8"
"","","E-00100003","M2PM-VR 3P3W 100V 75/5A 50Hz 検定付 (CW-15LS 75/5A*2) (A)","","式","2023/01","161600","161600","73480","4.0000","4.0000","1","88120","54.5"
"","","E-00100004","M2PM-VR 3P3W 100V 100/5A 50Hz 検定付 (CW-15LS 100/5A*2) (A)","","式","2023/01","40400","40400","18370","1.0000","1.0000","1","22030","54.5"
"","","E-00100005","M2PM-VR 3P3W 100V 150/5A 50Hz 検定付 (CW-15LS 150/5A*2) (A)","","式","2023/01","38500","38500","17590","1.0000","1.0000","1","20910","54.3"
"","","E-00100006","M2PM-VR 3P3W 100V 200/5A 50Hz 検定付 (CW-15LS 200/5A*2) (A)","","式","2023/01","41500","41500","18900","1.0000","1.0000","1","22600","54.5"
"","","E-00100007","M2PM-VR 3P3W 100V 250/5A 50Hz 検定付 (CW-15LS 250/5A*2) (A)","","式","2023/01","167200","167200","76120","4.0000","4.0000","1","91080","54.5"
"","","E-00100008","M2PM-VR 3P3W 100V 300/5A 50Hz 検定付 (CW-15LMS 300/5A*2) (A)","","式","2023/01","44200","44200","20000","1.0000","1.0000","1","24200","54.8"
"","","E-00100009","M2PM-VR 3P3W 100V 400/5A 50Hz 検定付 (CW-15LS 400/5A*2)","","式","2023/01","42100","42100","19160","1.0000","1.0000","1","22940","54.5"
"","","E-00100010","M2PM-VR 3P3W 100V 500/5A 50Hz 検定付 (CW-15LMS 500/5A*2) (A)","","式","2023/01","44400","44400","20120","1.0000","1.0000","1","24280","54.7"
"","","E-00100011","M2PM-VR 3P3W 100V 600/5A 50Hz 検定付 (CW-15LMS 600/5A*2) (A)","","式","2023/01","54800","54800","24500","1.0000","1.0000","1","30300","55.3"
"","","E-00100012","M2PM-VR 3P3W 100V 750/5A 50Hz 検定付 (CW-15LMS 750/5A*2) (A)","","式","2023/01","54900","54900","24560","1.0000","1.0000","1","30340","55.3"
"","","E-00100013","M2PM-VR 3P3W 200V 50/5A 50Hz 検定付 (CW-15LS 50/5A*2) (A)","","式","2023/01","39100","39100","17720","1.0000","1.0000","1","21380","54.7"
"","","E-00100014","M2PM-VR 3P3W 200V 75/5A 50Hz 検定付 (CW-15LS 75/5A*2) (A)","","式","2023/01","156400","156400","70880","4.0000","4.0000","1","85520","54.7"
"","","E-00100015","M2PM-VR 3P3W 200V 100/5A 50Hz 検定付 (CW-15LS 100/5A*2) (A)","","式","2023/01","39100","39100","17720","1.0000","1.0000","1","21380","54.7"
"","","E-00100016","M2PM-VR 3P3W 200V 150/5A 50Hz 検定付 (CW-15LS 150/5A*2) (A)","","式","2023/01","74400","74400","33900","2.0000","2.0000","1","40500","54.4"
"","","E-00100017","M2PM-VR 3P3W 200V 200/5A 50Hz 検定付 (CW-15LS 200/5A*2) (A)","","式","2023/01","120300","120300","54780","3.0000","3.0000","1","65520","54.5"
"","","E-00100018","M2PM-VR 3P3W 200V 250/5A 50Hz 検定付 (CW-15LS 250/5A*2) (A)","","式","2023/01","121200","121200","55170","3.0000","3.0000","1","66030","54.5"
