"部門コード","部門名","集計年月","総売上額","純売上額","原価計","総売上数","純売上数","明細数","粗利益","粗利率"
"","","2023/10","14609","14609","0","1.0000","1.0000","1","14609","100"
"","","2023/11","11091","11091","0","1.0000","1.0000","1","11091","100"
"","","2023/12","20827","20827","0","1.0000","1.0000","1","20827","100"
"","","2024/01","9364","9364","0","1.0000","1.0000","1","9364","100"
"","","2024/02","3081845","3081845","1626560","6.0000","6.0000","4","1455285","47.2"
"","","2024/03","12099050","12099050","8611860","115.0000","115.0000","64","3487190","28.8"
"DNK-E","電力機器事業部","2023/05","41191750","41046850","31779670","3514.0000","3514.0000","878","9267180","22.6"
"DNK-E","電力機器事業部","2023/06","78703420","78703420","56424834","5567.0000","5567.0000","1180","22278586","28.3"
"DNK-E","電力機器事業部","2023/07","43071485","43071485","32790254","4186.0000","4186.0000","998","10281231","23.9"
"DNK-E","電力機器事業部","2023/08","74277556","74277556","49981282","4300.0000","4300.0000","883","24296274","32.7"
"DNK-E","電力機器事業部","2023/09","74098620","74098620","51042578","3310.0000","3310.0000","807","23056042","31.1"
"DNK-E","電力機器事業部","2023/10","52779510","52779510","37855473","4044.0000","4044.0000","692","14924037","28.3"
"DNK-E","電力機器事業部","2023/11","46037650","46037650","31481786","2263.0000","2263.0000","542","14555864","31.6"
"DNK-E","電力機器事業部","2023/12","41646585","41646585","29806627","4688.0000","4688.0000","788","11839958","28.4"
"DNK-E","電力機器事業部","2024/01","35911785","35911785","25535626","4099.0000","4099.0000","576","10376159","28.9"
"DNK-E","電力機器事業部","2024/02","60318890","60318890","41852098","3096.0000","3096.0000","780","18466792","30.6"
"DNK-E","電力機器事業部","2024/03","34842860","34842860","23700362","2186.0000","2186.0000","512","11142498","32"
"DNK-E","電力機器事業部","2024/04","24201711","24201711","18642350","2876.0000","2876.0000","592","5559361","23"
"DNK-M","メディア機器事業部","2023/05","1290000","1290000","195000","56.0000","56.0000","3","1095000","84.9"
"DNK-M","メディア機器事業部","2023/06","1081500","1081500","93500","56.0000","56.0000","2","988000","91.4"
"DNK-M","メディア機器事業部","2023/07","1111500","1111500","264700","60.0000","60.0000","3","846800","76.2"
"DNK-M","メディア機器事業部","2023/08","750000","750000","0","1.0000","1.0000","1","750000","100"
"DNK-M","メディア機器事業部","2023/09","750000","750000","0","1.0000","1.0000","1","750000","100"
"DNK-M","メディア機器事業部","2023/10","750000","750000","0","1.0000","1.0000","1","750000","100"
"DNK-M","メディア機器事業部","2024/03","444936","444936","213700","67.0000","67.0000","3","231236","52"
"DNK-M","メディア機器事業部","2024/04","231272","231272","108800","65.0000","65.0000","2","122472","53"
"DNK-P","ポンプ事業部","2023/08","2706250","2706250","2138500","2.0000","2.0000","2","567750","21"
"DNK-P","ポンプ事業部","2023/12","78140","78140","59268","13.0000","13.0000","3","18872","24.2"
"DNK-P","ポンプ事業部","2024/04","0","0","0","2.0000","2.0000","2","0",""
"DNK-F","FC事業部","2023/05","1536879","1536879","301969","251.0000","251.0000","73","1234910","80.4"
"DNK-F","FC事業部","2023/06","1317263","1317263","257103","273.0000","273.0000","76","1060160","80.5"
"DNK-F","FC事業部","2023/07","2740813","2740813","360973","338.0000","338.0000","100","2379840","86.8"
"DNK-F","FC事業部","2023/08","2397865","2397865","266040","259.0000","259.0000","84","2131825","88.9"
"DNK-F","FC事業部","2023/09","2217853","2217853","403947","326.0000","326.0000","100","1813906","81.8"
"DNK-F","FC事業部","2023/10","2193681","2193681","381150","396.0000","396.0000","87","1812531","82.6"
"DNK-F","FC事業部","2023/11","2180425","2180425","339444","3.0000","3.0000","3","1840981","84.4"
"DNK-F","FC事業部","2023/12","5040017","5040017","525694","3.0000","3.0000","3","4514323","89.6"
"DNK-F","FC事業部","2024/01","1386406","1386406","286405","3.0000","3.0000","3","1100001","79.3"
"DNK-F","FC事業部","2024/02","1647246","1647246","398752","3.0000","3.0000","3","1248494","75.8"
"DNK-F","FC事業部","2024/03","2472877","2472877","477924","3.0000","3.0000","3","1994953","80.7"
"DNK-F","FC事業部","2024/04","3020660","3020660","433334","3.0000","3.0000","3","2587326","85.7"
"DNK-E-S","電力事業部 仙台","2023/06","1500000","1500000","988310","4.0000","4.0000","4","511690","34.1"
"DNK-E-S","電力事業部 仙台","2023/07","2932960","2932960","2000100","21.0000","21.0000","14","932860","31.8"
"DNK-E-S","電力事業部 仙台","2023/08","2200000","2200000","1611960","7.0000","7.0000","4","588040","26.7"
"DNK-E-S","電力事業部 仙台","2023/11","1070000","1070000","473700","2.0000","2.0000","2","596300","55.7"
"DNK-E-S","電力事業部 仙台","2024/01","2311000","2311000","1596770","2.0000","2.0000","2","714230","30.9"
"DNK-E-S","電力事業部 仙台","2024/02","5250000","5250000","2826400","5.0000","5.0000","5","2423600","46.2"
"DNK-E-S","電力事業部 仙台","2024/03","10115000","3700000","3491580","7.0000","7.0000","6","208420","5.6"
