"得意先コード","得意先名","部門コード","部門名","商品コード","商品名","仕様・規格","単位","総売上額","純売上額","原価計","総売上数","純売上数","明細数","粗利益","粗利率"
"EJR0001","株式会社カナデン","DNK-E","電力機器事業部","99999","金額一式","","式","1683300","1683300","558820","1.0000","1.0000","1","1124480","66.8"
"EJR0006","東日本旅客鉄道株式会社 八王子電力設備技術センター","DNK-E","電力機器事業部","99999","金額一式","","式","46500","46500","33250","25.0000","25.0000","1","13250","28.5"
"EJR0006","東日本旅客鉄道株式会社 八王子電力設備技術センター","DNK-E","電力機器事業部","E-00108053","接地極 φ10×1500mmｱｰｽ棒 B-5下(B5J)10Φx1500銅被覆(連結)","日動","","7280","7280","5200","2.0000","2.0000","1","2080","28.6"
"EJR0006","東日本旅客鉄道株式会社 八王子電力設備技術センター","DNK-E","電力機器事業部","E-00108054","接地棒キャップ φ10 ｱｰｽ棒ﾘｰﾄﾞ端子 10Φ 銅被覆(B10)","日動","","2260","2260","1620","2.0000","2.0000","1","640","28.3"
"EJR0006","東日本旅客鉄道株式会社 八王子電力設備技術センター","DNK-E","電力機器事業部","E-00108055","IV 8SQ 緑","住友重電","本","6600","6600","4720","20.0000","20.0000","1","1880","28.5"
"EJR0006","東日本旅客鉄道株式会社 八王子電力設備技術センター","DNK-E","電力機器事業部","E-00108056","LP碍子 LP-10  DA-40066-E","","","87450","87450","62460","3.0000","3.0000","1","24990","28.6"
"EJR0006","東日本旅客鉄道株式会社 八王子電力設備技術センター","DNK-E","電力機器事業部","E-00108057","コ型金物 75mm用","浅田電機製作所","","630","630","450","3.0000","3.0000","1","180","28.6"
"EJR0006","東日本旅客鉄道株式会社 八王子電力設備技術センター","DNK-E","電力機器事業部","E-00108058","6KV JP 38SQ ジャンパー線","タツタ電線","","9480","9480","6675","3.0000","3.0000","1","2805","29.6"
"EJR0006","東日本旅客鉄道株式会社 八王子電力設備技術センター","DNK-E","電力機器事業部","E-00108059","BTC-110 ステンレス保護カバー 10mm幅用","イワブチ","","500","500","340","20.0000","20.0000","1","160","32"
"EJR0006","東日本旅客鉄道株式会社 八王子電力設備技術センター","DNK-E","電力機器事業部","E-00108060","蓄力コネクタ2号(38sq)","","","7080","7080","5040","6.0000","6.0000","1","2040","28.8"
"EJR0006","東日本旅客鉄道株式会社 八王子電力設備技術センター","DNK-E","電力機器事業部","E-00108061","蓄力カバー 恒和蓄力カバー(低圧用L-2) 2,3号用 38用","","","2580","2580","1860","6.0000","6.0000","1","720","27.9"
"EJR0006","東日本旅客鉄道株式会社 八王子電力設備技術センター","DNK-E","電力機器事業部","E-00108062","LGA-1.8-ﾋ 腕金 軽量鋼 75x75x1800mm(穴あき）","イワブチ","","17560","17560","12540","1.0000","1.0000","1","5020","28.6"
"EJR0006","東日本旅客鉄道株式会社 八王子電力設備技術センター","DNK-E","電力機器事業部","E-00108063","SABD-26S-DW アームタイレスバンド","","","8040","8040","5740","1.0000","1.0000","1","2300","28.6"
"EJR0006","東日本旅客鉄道株式会社 八王子電力設備技術センター","DNK-E","電力機器事業部","E-00108064","ﾎﾞﾙﾄ型ｺﾈｸﾀｰ3.2㎜(5.5sq)","三英社","","720","720","510","3.0000","3.0000","1","210","29.2"
"EJR0006","東日本旅客鉄道株式会社 八王子電力設備技術センター","DNK-E","電力機器事業部","E-00108065","ボルト M8 x 100mm(ステンレス六角ボルト)","","","2160","2160","1560","12.0000","12.0000","1","600","27.8"
